/api # node monitor.cjs 
2025-09-27T16:56:21.814Z | RSS: 40.54 MB | HeapUsed: 3.81 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:56:31.824Z | RSS: 40.54 MB | HeapUsed: 3.81 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:56:41.832Z | RSS: 40.54 MB | HeapUsed: 3.82 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:56:51.842Z | RSS: 40.54 MB | HeapUsed: 3.82 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:57:01.848Z | RSS: 40.54 MB | HeapUsed: 3.82 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:57:11.854Z | RSS: 40.54 MB | HeapUsed: 3.82 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:57:21.863Z | RSS: 40.54 MB | HeapUsed: 3.82 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:57:31.865Z | RSS: 40.54 MB | HeapUsed: 3.82 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:57:41.872Z | RSS: 40.54 MB | HeapUsed: 3.83 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:57:51.880Z | RSS: 40.54 MB | HeapUsed: 3.83 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:58:01.888Z | RSS: 40.54 MB | HeapUsed: 3.83 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:58:11.896Z | RSS: 40.54 MB | HeapUsed: 3.83 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:58:21.904Z | RSS: 40.54 MB | HeapUsed: 3.83 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:58:31.912Z | RSS: 40.54 MB | HeapUsed: 3.83 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:58:41.920Z | RSS: 40.54 MB | HeapUsed: 3.84 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:58:51.928Z | RSS: 40.54 MB | HeapUsed: 3.84 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:59:01.936Z | RSS: 40.54 MB | HeapUsed: 3.84 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:59:11.944Z | RSS: 40.54 MB | HeapUsed: 3.84 MB | HeapTotal: 4.23 MB | External: 1.35 MB
2025-09-27T16:59:21.954Z | RSS: 40.54 MB | HeapUsed: 3.84 MB | HeapTotal: 4.23 MB | External: 1.35 MB
